name,duration,genre,release_date,directors,stars
Pre-Code Hollywood Collection (DVD),463 min,Drama,04/07/2009,Erle C. Kenton,"Frank McGlynn Sr., Arthur Hohl, Randolph Scott, Baby LeRoy, Gertrude Michael, William Ingersoll, Lyda Roberti, Chas. B. Middleton, Victor McLaglen, Albert Conti, Mildred Boyd, Carl Brisson, Jane Darwell, Edward Keane, Charles Coleman, Cary Grant, Milla Davenport, William Collier Sr., Ricardo Cortez, Cora Sue Collins, Larry ""Buster"" Crabbe, Florence Roberts, Harvey Stephens, Robert Strange, Duke Ellington's orchestra, Beryl Wallace, Stanley Smith, Robert Greig, Esther Howard, Helen Jerome Eddy, Sylvia Sidney, Bradley Page, David Manners, Hanaki Yoshiwara, Ann Andrews, Jack Oakie, Adrianne Allen, Irving Pichel, Eddie Gribbon, Edward Woods, Robert Armstrong, George Irving, Virginia Hammond, Charley Grapewin, Kent Taylor, Nora Cecil, Charles McAvoy, Roscoe Karns, Sam Godfrey, Oscar Apfel, Ethel Griffies, Verna Hillie, Kitty Carlisle, Donald Meek, Fredric March, James Gleason, Dorothy Stickney, Jay Fassett, Rita La Roy, Lillian Bond, Rose Coghlan, Jessie Ralph, Reverend Neal Dodd, Ida Lupino, Tallulah Bankhead, Del Henderson, Mildred Washington, Nancy Carroll, Willard Dashiell, Otto Hoffman, Skeets Gallagher, Claudette Colbert, Leonard Carey, Florence Britton, Henry Warwick, Jessie Arnold, Toby Wing, Grady Sutton, Gail Patrick"
4 Film Favorites: Cop Comedy (DVD),339,Comedy,03/19/2013,,"George Gaynes, Bubba Smith, Leslie Easterbrook, Michael Winslow, David Graf, Ron Perlman, Emilio Estevez, Samuel L. Jackson"
The Christmas Note (DVD),85 min,Drama,,Terry Ingram,Jamie-Lynn Sigler
Dennis The Menace (DVD),,Comedy,08/09/2016,Nick Castle,"Christopher Lloyd, Mason Gamble, Joan Plowright, Walter Matthau, Bill Erwin, Lea Thompson, Paul Winfield"
Beautiful Creatures (Blu-ray),118 mins.,Drama,05/21/2013,Richard LaGravenese,"Emmy Rossum, Jean Butler, Colin Dunne, Maria Pages, Cindy Hogan, Viola Davis, Christopher Darby, Alice Englert, Alden Ehrenreich, Jeremy Irons, Gwendolyn Mulamba"
Matilda / Pippi Longstocking (DVD),198,Kids & Family,12/21/2006,"Danny DeVito, Ken Annakin","Mara Wilson, Tami Erin"
Bob Dylan: 1975-1982 - Rolling Thunder & Gospel Years (DVD),240,,04/04/2006,,"Regina McCrary, Jerry Wexler, Rubin ""Hurricane"" Carter, Ramblin' Jack Elliott, Scarlet Rivera"
The Stud (DVD),90 min,Drama,,,"Joan Collins, Sue Lloyd, Oliver Tobias"
Repo Man (DVD),92 min,Comedy,01/26/2016,Alex Cox,Emilio Estevez
A.X.L. (DVD),,Action & Adventure,,,"Thomas Jane, Dominic Rains, Ted McGinley"
When the Daltons Rode (DVD),81 mins.,,09/21/2009,,"Brian Donlevy, Randolph Scott, Broderick Crawford, George Bancroft, Kay Francis"
Paw Patrol: Pups Save Christmas (DVD),74,"Kids & Family, Action & Adventure, Anime & Animation",11/01/2016,,"Owen Mason,Devan Cohen,Kallan Holley"
Moneyball (Blu-ray),133 min,Drama,01/10/2012,Bennett Miller,"Robin Wright Penn, Jonah Hill, Brad Pitt, Philip Seymour Hoffman, Demetri Martin, Cory Vanderhook, Robin Wright, Stephen Bishop, Chris Pratt"
The Careless Years (DVD),NOT STATED,Drama,05/03/2011,Arthur Hiller,"Alan Dinehart III, Barbara Billingsley, Claire Carleton, Dean Stockwell, John Stephenson, Lizz Slifer, John Larch, Natalie Trundy"
Superbeast (DVD),93.00 min,"Sci-Fi & Fantasy, Drama",,George Schenck,Antoinette Bower; Craig Littler; Harry Lauter
The Adventures of Shark Boy and Lava Girl (Blu-ray),93 min,"Kids & Family, Action & Adventure",11/08/2011,Robert Rodriguez,"David Arquette, Taylor Lautner, Kristin Davis, George Lopez, Taylor Dooley, Cayden Boyd"
Sybil (DVD),187,"Drama, Action & Adventure, Mystery & Suspense",07/18/2006,Daniel Petrie,"Tommy Crebbs, Sally Field, Martine Bartlett, Joanne Woodward, William Prince, Jane Hoffman"
Dr. Strange (DVD),93 min,Action & Adventure,11/01/2016,,"Jessica Walter, Peter Hooten, John Mills"
Raising Helen (DVD),119 min,"Drama, Romance, Comedy",10/12/2004,Garry Marshall,"Ethan Browne, Katie Carr, John Corbett, Joan Cusack, Kate Hudson, Hector Elizondo, Helen Mirren"
Harry Potter and the Order of the Phoenix (4K Ultra HD + Blu-ray + Digital),138 min,Sci-Fi & Fantasy,,David Yates,"Rupert Grint, Daniel Radcliffe, Emma Watson"
Sofia the First: The Curse of Princess Ivy (DVD),110 min,Animation & Cartoons,02/24/2015,Jamie Mitchell,"Wayne Brady, Sara Ramirez, Ariel Winter"
4 Film Favorites: Scooby-Doo (DVD),343,Anime & Animation,06/10/2014,"Brian Levant, Raja Gosnell","Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini, Robbie Amell, Kate Melton, Nick Palatas"
Laserblast (DVD),85,"Sci-Fi & Fantasy, Drama",02/05/2013,Charles Rae,"Cheryl Smith, Gianni Russo, Mike Bobenko, Simmy Bow, Rich Walters, Joanna Lipari, Ron Masak, Dennis Burkley, Kim Milford"
Moonlight Drawn by Clouds: Deluxe Edition (Original Soundtrack) (DVD),,Music & Performance,,,
The Zookeeper's Wife (DVD),126 min,Drama,,Niki Caro,"Jessica Chastain, Johan Heldenbergh, Daniel Bruhl, Michael McElhatton"
The Ugly Truth (DVD),96 min,Comedy,11/10/2009,Robert Luketic,"Jesse D. Goins, Eric Winter, Katherine Heigl, Gerard Butler, Nick Searcy, Bree Turner"
The Wiz (DVD),135 min,Action & Adventure,02/03/2009,Sidney Lumet,"Clyde Barrett, Michael Jackson, Richard Pryor, Nipsey Russell, Diana Ross, Lena Horne"
Letters to Juliet (DVD),105 min,Drama,09/14/2010,Gary Winick,"Chris Egan, Gael Garcia Bernal, Amanda Seyfried, Franco Nero, Fabio Testi, Vanessa Redgrave"
Ex Machina (DVD),108,Sci-Fi & Fantasy,07/14/2015,Alex Garland,"Domhnall Gleeson, Oscar Isaac"
Citizen Kane (DVD),119 mins.,"Drama, Documentary & Educational",,Orson Welles,"Joseph Cotten, Harry Shannon, Dorothy Comingore, Fortunio Bonanova, Agnes Moorehead, Philip Van Zandt, Everett Sloane, Ruth Warrick, George Coulouris, William Alland, Orson Welles"
Tron (DVD),96 min,"Action & Adventure, Anime & Animation",04/05/2011,Steven Lisberger,"Bruce Boxleitner, Cindy Morgan, Barnard Hughes, Vince Deadrick, David Warner, Jeff Bridges"
Endless Love (DVD),104 min,Drama,05/27/2014,Shana Feste,"Dayo Okeniyi, Fabianne Therese, Robert Patrick, Emma Rigby, Gabriella Wilde, Rhys Wakefield, Anna Enger, Alex Pettyfer, Bruce Greenwood, Joely Richardson"
The Lone Ranger (DVD),149 min,"Kids & Family, Action & Adventure, Anime & Animation",12/17/2013,Gore Verbinski,"Armie Hammer, Ruth Wilson, Helena Bonham Carter, Johnny Depp, Harry Treadaway, Leon Rippy, Matthew O'Leary, W. Earl Brown, William Fichtner, Tom Wilkinson"
Mr. Jones (DVD),114,Romance,10/06/2015,Mike Figgis,"Richard Gere, Anne Bancroft"
Shirley Temple Storybook Collection: The Terrible Clockman / The House OF the Seven Gables / The Land of Oz / The Reluctant Dragon / The Little MermAid (DVD),275 mins.,Comedy,08/21/2008,,"Jonathan Harris, Agnes Moorehead, Martin Landau, Shirley Temple, Robert Culp"
Elizabeth Taylor: 20-Film Legacy Collection (DVD),,Drama,,,
When Sparks Fly (DVD),86 min,"Drama, Comedy",06/07/2016,Gary Yates,"Meghan Markle, Lochlyn Munro, Chelsey Reist, Kristina Pesic, Keith MacKechnie, Christopher Jacot, Kirsten Robek, Ecstasia Sanders, Jerry Trimble, Jacqueline Samuda"
Avatar (Blu-ray),162 min,Drama,11/16/2010,James Cameron,"Stephen Lang, Sean Moran, Michelle Rodriguez, Giovanni Ribisi, Sigourney Weaver, Joel David Moore, Zoe Saldana, Sam Worthington"
American Movie (DVD),104 min,Comedy,07/01/2011,Chris Smith,"Tom Shimmels, Mike Schank, Mark Borchardt, Alex Borchardt, Dean Allen, Matt Weisman, Tom Beach"
Alter Bridge: Live From Amsterdam (Blu-ray),90,Special Interests,01/11/2011,Daniel E. Catullo III,"Brian Marshall, Scott Phillips, Myles Kennedy, Mark Tremonti"
4-Movie Laugh Pack 2 (DVD),381 mins.,Comedy,,,
My King (DVD),125 min,Drama,,,
The Guardian (DVD),139 min,Action,01/23/2007,Andrew Davis,"Ashton Kutcher, Melissa Sagemiller, Shelby Fenner, Kevin Costner, Damon Lipari, Clancy Brown, Sela Ward, Neal McDonough, Dul Hill, Peter Gail"
The Man In The Moon (DVD),100 min,Drama,01/09/2001,Robert Mulligan,"Sam Waterson, Sam Waterston, Reese Witherspoon, Gail Strickland, Jason London, Tess Harper"
Blazing Saddles: 30Th Anniversary Special Edition (DVD),93 min,Comedy,,,
Johnny English (Blu-ray),88 min,Comedy,02/28/2012,Peter Howitt,"John Malkovich, Douglas McFerran, Oliver Ford Davis, Ben Miller, Tasha Devasconcelos, Rowan Atkinson, Natalie Imbruglia"
Space Jam (Director's Cut) (DVD),88 min,Comedy,10/16/2011,Joe Pytka,"Mark Nettleton, Patrick Ewing, Alex Bicknell, Paul Mota, Jennifer Anderson, Anthony Miller, Sean Mullen, Shawn Murphy, Michael Kory, Michael Battaglia, Mark Michaels, Muggsy Bogues, Morgan, Steve Adcock, Elliott Koretz, Jeff Atmajian, Michael Neuman, Joe Bays, Bill Murray, Carlos Arguello, D. Bradley Baker, Kirsten Anderson, Monica Arnold, Cristin Pescosolido, Jamie Barber, Gary Alexander, Leonardo Benvenuti, Manner Washington (Mooky), Daniel R. Padgett, Frank Perl, Eric D Gordon, Thom Barry, Penny Bae Bridges, Charles Barkley, Wayne Knight, Bill Perkins, Billy West, Vern Nobles, Joe Medjuck, Theresa Randle, Bean Miller, Michael Jordan, Michael Alaimo"
Lost Girl: Season Three (DVD),572 min,,11/19/2013,,"Zoie Palmer, Anna Silk, Ksenia Solo, Rick Howland"
Homeward Bound: The Incredible Journey / Homeward Bound II: Lost San Francisco (DVD),173 min,Kids & Family,02/10/2008,Duwayne Dunham,"Ted D'Arms, Don Ameche, Sally Field, Michael J. Fox"
Kung Fu Panda 3 (Blu-ray + DVD),95,"Kids & Family, Anime & Animation",06/28/2016,Jennifer Yuh Nelson,"Angelina Jolie, Dustin Hoffman, Kate Hudson, Bryan Cranston, J.K. Simmons, Jack Black, Seth Rogen, David Cross, Lucy Liu"
The DUFF (DVD),101,Comedy,06/09/2015,Ari Sandel,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney, Ken Jeong, Skyler Samuels, Romany Malco"
Harum Scarum / Speedway / The Trouble With Girls (And How to Get Into It),178,"Drama, Romance, Music & Performance",11/07/2006,Norman Taurog,"Elvis Presley, Nancy Sinatra"
I'm a Ballerina Now (DVD),40 min,Music & Performance,08/31/2004,,"Melissa Beaver, Rosemary Boross"
Scooby-Doo and the Curse of the 13th Ghost (DVD),72 min,Comedy,,,
George Of The Jungle / George Of The Jungle 2 (DVD),179,"Kids & Family, Anime & Animation",05/11/2010,Sam Weisman,"John Bennett Perry, Brendan Fraser, Lydell Cheshier, Abdoulaye N'Gom, Michael Chinyamurindi, Richard Roundtree, Leslie Mann, Spencer Garrett, Holland Taylor, Keith Scott, Jon Pennell, Greg Cruttwell, Abraham Benrubi, Thomas Haden Church, Kelly Miller"
My Man Godfrey - Digitally Remastered (DVD),94.00 min,Drama,,Gregory La Cava,William Powell;Carole Lombard;Alice Brady
The Lord Of The Rings (DVD),159 min,"Sci-Fi & Fantasy, Action & Adventure",02/02/2010,Ralph Bakshi,"Michael Sholes, Christopher Guard, William Squire, Philip Stone, Andre Morell, Simon Chandler, John Hurt, Dominic Guard, Michael Scholes"
"Move Over, Darling",104 min,,,,"Doris Day & Pat Boone, Polly Bergen, Doris Day"
Springy-Time Fun (DVD),60 min,"Kids & Family, Anime & Animation",01/06/2004,Ron Pitts,"Robert Smith, Adrian Truss, Cole Caplan"
Super Troopers 2-Movie Collection (Blu-ray + DVD + Digital),199 min,Comedy,,,
Ramona and Beezus (DVD),103 min,Action & Adventure,11/09/2010,Elizabeth Allen,"John Corbett, Bridget Moynahan, Ginnifer Goodwin, Selena Gomez, Joey King"
The Equalizer 2 (Blu-ray + DVD + Digital Copy),,Action & Adventure,,Antoine Fuqua,"Bill Pullman, Melissa Leo"
A Zombie Exorcism (DVD),70 min,Horror,05/19/2015,,Mads Althoov
The Night Walker / Dark Intruder (DVD),145 min,Horror,12/07/2015,,"Lloyd Bochner, Barbara Stanwyck, Leslie Nielsen, Robert Taylor"
Boris And Natasha (DVD),88,Comedy,07/03/2012,Charles Martin Smith,"Anson Downes, John Calvin, Linda R Favila, Alex Rocco, Andrea Martin, Corey Burton, Christopher Neame, Paxton Whitehead, Larry Cedar, Barbara Schillaci, John Candy, Dave Thomas, Anthony Newley, Sally Kellerman"
The Rolling Stones: Ole Ole Ole A Trip Across Latin America (DVD),,,,,
The Emperor's New Groove 2-Movie Collection (Blu-ray + DVD),152 min,Anime & Animation,06/11/2013,"Elliot Bour, Saul Blinkoff","David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Tracey Ullman, John Mahoney"
Cenerentola (DVD),164,"Foreign, Music & Performance",01/01/1980,Christoph Eschenbach,"Michele Pertusi, Raul Gimenez, Cecilia Bartoli, Enzo Dara, Alessandro Corbelli, Raúl Giménez, Laura Knoop"
Mickey Mouse Clubhouse: Minnie's Winter Bow Show (DVD),110 min,Anime & Animation,11/18/2014,,
The Nurses Collection (DVD),280,Comedy,04/17/2012,Roger Corman,"Katherine Cannon, Joyce Williams, Patty Byrne, Alana Stewart, Jean Manson, Ashley Porter, Candice Rialson"
The Original Kings Of Comedy (Widescreen),115,Comedy,02/27/2001,Spike Lee,"Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac"
Drum Beat (DVD),111 min,Drama,,Delmer Daves,"Rodolfo Acosta, Audrey Dalton, Perry Lopez, Alan Ladd, Willis Bouchey, Elisha Cook Jr., Charles Bronson, Robert Keith, Frank de Kova, Rodopho (Rudy) Acosta, Edgar Stehli, Hayden Rorke, Marisa Pavan"
Random Harvest (DVD),126 min,Drama,01/11/2005,Mervyn LeRoy,"Henry Travers, Greer Garson, Ronald Colman, Susan Peters, Philip Dorn"
7 Days In Entebbe (DVD),96 min,Drama,,José Padilha,"Eddie Marsan, Daniel Brühl, Rosamund Pike"
Middle School: The Worst Years of My Life (DVD),92,Comedy,01/03/2017,Steve Carr,Lauren Graham
Silver Screen Romances (DVD),714,Drama,01/28/2014,Ben Hecht,"Pedro Armendariz, Vaughn Taylor, Steven Muller, Michael O'Shea, George Tobias, Susan Hayward, Warner Baxter, José Pérez, Rita Hayworth, Peggy Cass, Audrey Swanson, Adele Jergens, Thomas Mitchell, Julietta Novis, Aldo Ray, David Bond, Tony Martin, Tito Renaldo, Eddie Kane, Wally Cassell, Joseph Crehan, Ray Collins, Larry Hudson, Kathleen O'Malley, Barry Curtis, James Burke, Elsie Holmes, Billy Ray, Richard Deacon, Pietro Sosso, Leonard Strong, Constance Bennett, June Lockhart, John Williams, Sheila Bond, Rex Evans, Whit Bissell, Paul Monte, Madge Kennedy, Fay Wray, Ilka Chase, Charles Lind, Ralph Theodore, John Garfield, Ingrid Bergman, Johnny Downs, Eric Blore, Jack Lemmon, Fred Sears, Arthur O'Connell, Don Brodie, Alfonso Pedroza, Walter Klavun, Alexander McSweyn, Larry Parks, William Frawley, Jean Donahue, Griff Barnett, Marc Platt, Marten Lamont, Mickey Shaughnessy, Eddie Foster, Neva Patterson, Fred Clark, Melville Cooper, Douglas Fairbanks Jr., Rex Williams, Jennifer Jones, Wallace Chadwell, Judy Holliday, Christie Olsen, John Alexander, Lynn Merrick, Wendy Barrie, Gilbert Roland, Morris Ankrum, William Haade, Connie Gilchrist, Robert Shaw, Arthur Gilmore, Heywood Hale Broun, George Burns, Marilyn Hanold, Ramón Novarro, Susan Halloran, Phil Tead, Paul Douglas, George Watts, Walter Sande, Helen Westley, Joey Ray, Edith Fellows, Phyllis Povah, Wallace Acton, Alan Mowbray, Roland Culver, John Qualen, Richard Denning, Andre Kostelanetz and his band, Peter Lawford, James Gleason, Jimmy Conlin, Bobby Walberg, George Humbert, Edward Everett Horton, Anne Loos, Constance Worth, Jack Roper, Robert Tafur, Hiram Sherman, George Macready"
Separate Tables (DVD),100 min,Drama,07/29/2014,Delbert Mann,"David Niven, Wendy Hiller, Deborah Kerr, Priscilla Morgan, Burt Lancaster, Rita Hayworth"
Disney Descendants 2 (DVD),90 min,"Kids & Family, Action & Adventure",,Kenny Ortega,"Dove Cameron, Cameron Boyce, Mitchell Hope, Booboo Stewart, Sofia Carson, Breanna D-Amico, Zachary Gibson, Jedidiah Goodace, China Anne McClain"
Latham Entertainment Presents: An All New Comedy Experience (DVD),89,Comedy Performance,10/07/2003,Chuck Vinson,"J. Anthony Brown, Bruce Bruce, Earthquake, D.L. Hughley, Rickey Smiley"
Days Of Thunder (DVD),107 min,"Drama, Sports & Fitness, Action & Adventure",,Tony Scott,"Nicole Kidman, Robert Duvall, Randy Quaid, Tom Cruise"
Day of the Animals (Blu-ray),97 min,Drama,11/26/2013,William Girdler,"Richard Jaeckel, Lynda Day George, Leslie Nielsen, Michael Ansara, Christopher George"
The Bowery Boys: Volume 3 (DVD),0.00 min,Comedy,10/29/2013,Austen Jewell,"David Gorcey, Gordon Clark, Fritz Feld, Judy Bamber, Paul Fierro, Buddy Gorman, Dick Foote, Jack Grinnage, Ric Roman, Robert Christopher, Don Harvey, Steven Geray, Byron Foulger, Marianne Lynn, Dorothy Ford, Gabriel Dell, Mary Beth Hughes, Lili Kardell, Paul Bryar, Eddie Ryan, Betty Caldwell, Carl Switzer, Peter Mamakos, Bennie Bartlett, Geneva Gray, Don Haggerty, Leon Belasco, Percy Helton, Henry Rowland, Donald MacBride, Tommie Menzies, Ralph Dunn, Anne Kimbell, Otto Reichow, Benny Baker, John Harmon, Queenie Smith, Eddie LeRoy, Audrey Conti, Mickey Knox, Bess Flowers, Carey Loftin, Joi Lansing, Veola Vonn, Richard Benedict, Oliver Blake, Francis McDonald, Ralph Sanford, Richard Paxton, Rory Mallinson, Bob Lowry, Bill Henry, Mona Knox, Nelson Leigh, Bill Cassady, Russell Simpson, Robert Shayne, Dick Elliott, Sheldon Leonard, Mort Mills, Harry Lauter, Evelyn Rudie, Mark Dana, Ray Walker, Fuzzy Knight, Isabel Randolph, Jimmy Murphy, Jack Mulhall, Jane Easton, Lucien Littlefield, Jean Dean, Raymond Hatton, Frankie Darro, Mary Gordon, O. Z. Whitehead, Lyle Talbot, Pepe Hern, Michael Granger, Huntz Hall, Earle Hodgins, Leo Gorcey, Robert Rose, Joe Devlin, Nestor Paiva, Anne Fleming, Tom Hanlon, Don Marlowe, George Khoury, Doris Kemper, James Flavin, Robert Hopkins, Murray Alper, Myron Healey, Joe Turkel, Emory Parnell, David Condon, Ben Welden, Terry Frost, Alphonse Martell, Billy Benedict, Stanley Clements, Richard Powers, Paul Wexler, Richard Avonde, Jack Rice, John E. Wengraf, Robert Easton, John Mitchum, Frank Jenks, Phil Phillips, Nicky Blair, Mary Castle, Rosemary La Planche, George Dockstader, Bernard Gorcey, Darlene Fields, John Eldredge"
The Darkest Minds (Blu-ray + DVD + Digital Copy),104 min,Sci-Fi & Fantasy,,,"Skylan Brooks, Harris Dickinson, Mandy Moore, Bradley Whitford"
Movies 4 You: Horror (DVD),353,Horror,04/15/2014,Jerry J Jameson,"Patrick Delaney, Jeni Kulik, Stewart Moss, Robert Berk, Marianne McAndrew, Paul Carr, Michael Pataki, Arthur Space, Bonnie Van Dyke, George Paulsin"
4 Film Favorites: Teenage Mutant Ninja Turtles Collection (Blu-ray),365,Action & Adventure,,,"Josh Pais, James Saito, Michelan Sisti, Paige Turco, Judith Hoag, Kenn Scott, Leif Tilden, Sarah Michelle Gellar"
Fresh (DVD),114,Drama,03/03/2015,Boaz Yakin,"Ron Brice, Michael Barosky, Michael F. Barrow, Jerome Butler, Douglas Aibel, F. Murray Abraham, Samuel L. Jackson, Larry Blake, Belinda Becker, David Boulton, Michael Cambria, Lawrence Bender, Jennifer L. Bryan, Peter Bucossi, Ron Bartlett, John Cambria"
Family Comedy Quadruple Feature (DVD),385 min,Comedy,08/05/2008,Mickey Gilbert,"Rachael Harris, John S. Davies, Penelope Ann Miller, Christian Cousins, Orlando Brown, Ross Bickell, Albert Hall, Linda Hunt, Dylan McLaughlin, Elliot Cho, David Dehart, Pamela Reed, Michael Richards, Amy Yasbeck, Robert Duvall, Jayne Brook, Adam Anderly, Erik Walker, Musetta Vander, John Ritter, Eli Cummins, Peyton Chesson Fohl, Dallas McKinney, Alix Koromzay, Cathy Moriarty-Gentile, Laura Kightlinger, Carroll Baker, Rodney P Barnes, Gilbert Gottfried, Betty Lou Henson, Steven Anthony Lawrence, Mark Conway, Bam Bam Bigelow, William Hickey, Joseph Cousins, Jack Warden, Michael Oliver, Will Ferrell, Jeremy Bergman, Arnold Schwarzenegger, Michael Gabel, Robert A. Anderson, Park Overall, Anna Marie Allred, Mike Ditka, Richard Portnow, Joda Blaire-Hershman, Joshua Todd Diveley, Peter Jurasik, Josh Hutcherson, Charlotte Akin, Stephen Coleman, Richard Tyson, Tom Kurlander, Kate Walsh, Damon Wayans"
The Family That Preys (DVD),109 min,Comedy,01/13/2009,Tyler Perry,"Kathy Bates,Alfre Woodard,Sanaa Lathan,Rockmond Dunbar,KaDee Strickland"
Harry Potter and the Prisoner of Azkaban (Other),142 mins.,"Sci-Fi & Fantasy, Kids & Family, Action & Adventure",,,"Daniel Radcliffe, Rupert Grint"
Love Me or Leave Me / The Ideal Husband (DVD),176 min,Drama,04/15/2014,John Ruffin,"Darrin Dewitt Henson, Shanti Lowry, Terri J. Vaughn, Christian Keyes"
Despicable Me: 3-Movie Collection,284 mins.,Kids & Family,06/14/2016,,
Paw Patrol: Marshall & Chase On The Case! (Limited Edition Gift Set) (Walmart Exclusive) (DVD + Book),92 min,Action & Adventure,,,
Upside Down (DVD),104 min,Drama,06/25/2013,Juan Solanas,"Timothy Spall, Jim Sturgess, Kirsten Dunst"
Marvin Gaye: The Final 24 His Final Hours (DVD),NOT STATED,,08/24/2010,,"Leroy Emmanuel, Lois Jacob, Danny Wallace, Jim Thompson, Mel White"
The Lord Of The Rings: The Motion Picture Trilogy (Blu-ray),398 min,Action & Adventure,01/21/2014,Peter Jackson,"Brad Dourif, Marton Csokas, Noel Appleby, Christopher Lee, Sam Comery, Megan Edwards, Alistair Browning, Cate Blanchett, Sean Bean, Bruce Hopkins, Sean Astin, John Bach, Sadwyn Brophy, Bruce Allpress, Alexandra Astin, Michael Elsworth, David Aston, Billy Boyd, Orlando Bloom, Alan Howard, Sala Baker"
Andre Rieu: Unforgettable Evening with Andre Rieu (DVD),60 mins.,Music & Performance,,,Andre Rieu
Paul (Unrated) (Blu-ray + Digital Copy),110,Comedy,06/04/2013,Greg Mottola,"Blythe Danner, Bill Hader, Jason Bateman, Mia A Stallard, John Carroll Lynch, Monica Mayhem, Nick Frost, Seth Rogen, Kristen Wiig, Jesse Plemons, Sigourney Weaver, Simon Pegg"
Short Circuit 2 (Other),,,12/07/2010,,
Live in London (Blu-ray),,Special Interests,,Andy Morahan,George Michael
Bumblebee (Blu-ray + DVD),113 min,Sci-Fi & Fantasy,,,"Hailee Steinfeld, Justin Theroux, Dylan O'Brien"
Yentl (DVD),133 min,"Drama, Romance, Music & Performance",02/03/2009,Barbra Streisand,"Steven Hill, Barbra Streisand, Amy Irving, Allan Corduner, Mandy Patinkin, Nehemiah Persoff"
Alpha and Omega 3: The Great Wolf Games (DVD),45,Childrens,03/25/2014,Richard Rich,La Toya Jackson
Blair Witch 2: Book Of Shadows (DVD),99 min,"Drama, Action & Adventure",08/17/2004,Joe Berlinger,"Erik Jensen, Lynda Millard, Sara Phillips, Joe Berlinger, Tristen Skyler, Chuck Scarborough, Kim Director, Erica Leerhsen, Jeffrey Donovan, Michael Davis, Bruce Reed, Tristine Skyler, Stephen Barker Turner"
